epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.492,2.87097,4.40548,1.78194,0.16746,0.13884,0.07469,0.02221,2.60459,28.1839,1.55941,0.000664564,0.000664564,0.000664564
2,569.722,2.87248,3.03398,1.84673,0.11359,0.05228,0.02677,0.00677,2.62016,8.83451,1.65944,0.00130487,0.00130487,0.00130487
3,877.66,2.87019,2.81859,1.81294,0.18973,0.14236,0.09443,0.02362,2.48647,15.0827,1.53132,0.00191878,0.00191878,0.00191878
4,1186.3,2.84611,2.78029,1.82501,0.21901,0.17223,0.11626,0.0344,2.35138,3.9911,1.54197,0.0018812,0.0018812,0.0018812
5,1463.12,2.8064,2.66105,1.81626,0.20323,0.18447,0.10187,0.0291,2.35201,8.75905,1.50671,0.0018416,0.0018416,0.0018416
6,1748.64,2.71607,2.57368,1.75157,0.24426,0.20207,0.13559,0.04072,2.31049,4.45051,1.4457,0.001802,0.001802,0.001802
7,2053.95,2.70746,2.53543,1.73523,0.30628,0.17882,0.15518,0.04648,2.24176,3.45615,1.44184,0.0017624,0.0017624,0.0017624
8,2358.86,2.64958,2.42375,1.68547,0.2614,0.22364,0.15425,0.04688,2.2752,4.90822,1.44256,0.0017228,0.0017228,0.0017228
9,2666.12,2.61784,2.43334,1.71164,0.30432,0.24966,0.19296,0.05767,2.20313,7.06079,1.40419,0.0016832,0.0016832,0.0016832
10,2966.93,2.56694,2.33666,1.67244,0.28871,0.2254,0.17894,0.05595,2.24853,5.16979,1.44796,0.0016436,0.0016436,0.0016436
11,3282.79,2.5576,2.30472,1.6392,0.33996,0.27592,0.21121,0.06323,2.25074,5.60709,1.42341,0.001604,0.001604,0.001604
12,3590,2.52329,2.24215,1.64488,0.30067,0.26274,0.20071,0.06049,2.19676,4.72449,1.40918,0.0015644,0.0015644,0.0015644
13,3890.41,2.47125,2.19201,1.61629,0.36465,0.25967,0.21276,0.06468,2.19434,4.88207,1.42846,0.0015248,0.0015248,0.0015248
14,4199.58,2.47846,2.21558,1.61433,0.31535,0.27768,0.21897,0.06764,2.17547,3.13211,1.38035,0.0014852,0.0014852,0.0014852
15,4519.16,2.45892,2.14341,1.5916,0.37501,0.28735,0.25107,0.07902,2.11541,3.93474,1.36516,0.0014456,0.0014456,0.0014456
16,4825.43,2.42558,2.09345,1.58054,0.33254,0.28032,0.22404,0.07101,2.21269,4.09144,1.39825,0.001406,0.001406,0.001406
17,5098.58,2.43145,2.0848,1.57218,0.37979,0.29921,0.24588,0.07695,2.15241,2.99708,1.36441,0.0013664,0.0013664,0.0013664
18,5370.72,2.38681,2.03243,1.5466,0.34786,0.30272,0.2383,0.07659,2.14091,4.02821,1.36965,0.0013268,0.0013268,0.0013268
19,5643.56,2.3776,2.00535,1.53582,0.37766,0.28295,0.26011,0.08324,2.16483,3.5899,1.36342,0.0012872,0.0012872,0.0012872
20,5867.87,2.36059,1.96179,1.52235,0.45097,0.32162,0.28897,0.09584,2.16558,3.57954,1.37791,0.0012476,0.0012476,0.0012476
21,6028.12,2.33824,1.9315,1.52233,0.42,0.33656,0.29275,0.09707,2.14102,3.2265,1.34918,0.001208,0.001208,0.001208
22,6153.09,2.33392,1.94968,1.51695,0.40322,0.34227,0.30118,0.09764,2.16331,3.57304,1.37007,0.0011684,0.0011684,0.0011684
23,6274.22,2.30423,1.90844,1.50303,0.40195,0.32631,0.30262,0.10491,2.15266,3.32937,1.33312,0.0011288,0.0011288,0.0011288
24,6395.88,2.27892,1.87492,1.50927,0.40061,0.33216,0.28053,0.09329,2.17534,3.27862,1.37643,0.0010892,0.0010892,0.0010892
25,6517.91,2.26522,1.84377,1.47658,0.49015,0.35237,0.3305,0.10921,2.05456,2.87345,1.3116,0.0010496,0.0010496,0.0010496
26,6643.92,2.23739,1.81918,1.46859,0.44989,0.36072,0.33631,0.1093,2.10688,2.82353,1.33584,0.00101,0.00101,0.00101
27,6769.74,2.24323,1.82571,1.47851,0.44912,0.3638,0.33121,0.11186,2.13045,3.27109,1.35652,0.0009704,0.0009704,0.0009704
28,6892.27,2.20459,1.76264,1.44229,0.46772,0.33666,0.32918,0.11308,2.11986,3.15685,1.34138,0.0009308,0.0009308,0.0009308
29,7018.19,2.20569,1.7601,1.44253,0.48264,0.38137,0.35254,0.11931,2.12887,3.39233,1.34079,0.0008912,0.0008912,0.0008912
30,7144.71,2.18413,1.74091,1.44099,0.48872,0.36819,0.35189,0.1221,2.09073,3.16492,1.32267,0.0008516,0.0008516,0.0008516
31,7270.66,2.17183,1.69889,1.42641,0.45196,0.39024,0.35173,0.11851,2.09162,2.77312,1.31947,0.000812,0.000812,0.000812
32,7393.55,2.15459,1.66254,1.42317,0.47893,0.37522,0.37644,0.13247,2.13661,2.80039,1.36602,0.0007724,0.0007724,0.0007724
33,7520.18,2.13269,1.62412,1.40902,0.47941,0.38489,0.35917,0.12733,2.10601,2.79205,1.33245,0.0007328,0.0007328,0.0007328
34,7643.11,2.09824,1.58916,1.37628,0.51444,0.38708,0.37408,0.13243,2.13602,2.95762,1.34861,0.0006932,0.0006932,0.0006932
35,7768.91,2.06341,1.55379,1.36034,0.51539,0.38752,0.38945,0.14335,2.06208,2.83591,1.31022,0.0006536,0.0006536,0.0006536
36,7895.51,2.05858,1.55756,1.37239,0.55269,0.36819,0.38384,0.13838,2.10356,2.20979,1.33304,0.000614,0.000614,0.000614
37,8023.21,2.06858,1.54955,1.36701,0.55145,0.39763,0.3902,0.14084,2.07141,2.50387,1.30854,0.0005744,0.0005744,0.0005744
38,8150.25,2.02675,1.50087,1.33892,0.51348,0.39631,0.39161,0.14173,2.07141,3.1311,1.33024,0.0005348,0.0005348,0.0005348
39,8272.91,2.0348,1.48436,1.34281,0.5606,0.40773,0.41229,0.15248,2.05992,2.58624,1.31737,0.0004952,0.0004952,0.0004952
40,8394.3,1.99834,1.47599,1.33299,0.50916,0.42531,0.41649,0.15485,2.04716,2.36849,1.3098,0.0004556,0.0004556,0.0004556
41,8504.03,1.95363,1.39465,1.34138,0.55696,0.41476,0.44308,0.16345,2.03285,2.57153,1.29994,0.000416,0.000416,0.000416
