epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,441.775,2.91418,3.31241,1.91762,0.13373,0.11951,0.05069,0.01561,2.43128,36.0748,1.50554,0.000199369,0.000199369,0.0802625
2,887.32,2.79185,2.91096,1.85165,0.1523,0.14807,0.07127,0.02104,2.43707,45.4066,1.55299,0.000395415,0.000395415,0.0604585
3,1355.08,2.76918,2.8093,1.83812,0.21955,0.15773,0.10381,0.02756,2.32075,5.83251,1.51458,0.000587502,0.000587502,0.0406506
4,1832.92,2.70736,2.70679,1.80116,0.25523,0.18981,0.12656,0.0373,2.30341,32.1931,1.45585,0.000775628,0.000775628,0.0208387
5,2298.83,2.6724,2.66308,1.78556,0.22062,0.18717,0.11533,0.03205,2.3488,10.484,1.45204,0.000959794,0.000959794,0.00102289
6,2727.47,2.66497,2.58934,1.7702,0.25137,0.2109,0.13785,0.04218,2.22115,5.23637,1.45261,0.0009505,0.0009505,0.0009505
7,3036.1,2.63219,2.50886,1.72844,0.30481,0.2331,0.1672,0.05215,2.21877,5.70632,1.45057,0.0009406,0.0009406,0.0009406
8,3352.62,2.61312,2.47414,1.71549,0.31041,0.28735,0.20964,0.06245,2.17916,5.51059,1.36688,0.0009307,0.0009307,0.0009307
9,3678.16,2.5845,2.42224,1.68387,0.30258,0.27153,0.19503,0.05953,2.1887,4.76125,1.39197,0.0009208,0.0009208,0.0009208
10,3963.71,2.55775,2.3737,1.67989,0.36687,0.27944,0.23494,0.07157,2.17008,7.98484,1.38546,0.0009109,0.0009109,0.0009109
11,4279.28,2.50873,2.34508,1.65553,0.30725,0.2667,0.18014,0.0532,2.1444,6.55072,1.35096,0.000901,0.000901,0.000901
12,4592.73,2.4977,2.32382,1.64421,0.33778,0.2891,0.2239,0.06821,2.16623,10.5076,1.37205,0.0008911,0.0008911,0.0008911
13,4905.03,2.48985,2.31097,1.63456,0.37301,0.28339,0.23944,0.07276,2.18535,3.55733,1.39057,0.0008812,0.0008812,0.0008812
14,5215.61,2.46547,2.26412,1.61657,0.38215,0.29482,0.2556,0.07985,2.13216,5.00012,1.36816,0.0008713,0.0008713,0.0008713
15,5523.37,2.46788,2.25313,1.62022,0.36309,0.27285,0.20619,0.06142,2.14263,9.20324,1.3909,0.0008614,0.0008614,0.0008614
16,5949.45,2.44664,2.21008,1.6034,0.37146,0.28559,0.24606,0.07906,2.11794,3.84604,1.38275,0.0008515,0.0008515,0.0008515
17,6375.6,2.42121,2.17487,1.59746,0.43948,0.32953,0.28783,0.09599,2.13737,4.51413,1.33268,0.0008416,0.0008416,0.0008416
18,6809.15,2.42807,2.16763,1.58197,0.37774,0.30536,0.24608,0.08199,2.13659,4.01587,1.33292,0.0008317,0.0008317,0.0008317
19,7226.93,2.38121,2.12205,1.56882,0.33957,0.33392,0.22562,0.07429,2.1222,3.51041,1.35065,0.0008218,0.0008218,0.0008218
20,7557.48,2.3917,2.12823,1.57095,0.39922,0.34183,0.27773,0.0896,2.16955,7.475,1.38165,0.0008119,0.0008119,0.0008119
21,7885.57,2.36408,2.08521,1.55504,0.40784,0.34183,0.29487,0.09625,2.09372,3.92774,1.3598,0.000802,0.000802,0.000802
22,8215.63,2.32825,2.01708,1.54677,0.44853,0.35413,0.30475,0.09586,2.11285,7.84884,1.3496,0.0007921,0.0007921,0.0007921
23,8659.14,2.34318,2.03304,1.54658,0.43345,0.31854,0.30417,0.10535,2.03528,3.19052,1.29653,0.0007822,0.0007822,0.0007822
24,9075.86,2.33067,2.02884,1.53284,0.43538,0.32423,0.30312,0.10297,2.06261,3.37468,1.30806,0.0007723,0.0007723,0.0007723
25,9406.94,2.34699,2.02104,1.52745,0.37845,0.33348,0.26857,0.09138,2.07982,4.5837,1.32932,0.0007624,0.0007624,0.0007624
26,9547.78,2.31118,1.96644,1.52343,0.46905,0.32162,0.30986,0.10401,2.05116,2.66293,1.32763,0.0007525,0.0007525,0.0007525
27,9693.09,2.29339,1.96717,1.49513,0.39986,0.36687,0.27556,0.09285,2.07988,3.67622,1.30933,0.0007426,0.0007426,0.0007426
28,9829.69,2.26828,1.92526,1.50997,0.43438,0.32909,0.30142,0.1024,2.13011,3.56773,1.34842,0.0007327,0.0007327,0.0007327
29,9970.57,2.26912,1.92694,1.48975,0.43703,0.35149,0.30832,0.10346,2.04379,6.88988,1.27516,0.0007228,0.0007228,0.0007228
30,10116.9,2.23539,1.88271,1.47604,0.49095,0.36116,0.35063,0.11976,2.0987,3.288,1.3145,0.0007129,0.0007129,0.0007129
31,10258.5,2.2171,1.82408,1.4566,0.50575,0.37316,0.32853,0.1074,2.06445,4.26475,1.2875,0.000703,0.000703,0.000703
32,10403.7,2.22167,1.84444,1.46131,0.43091,0.36951,0.30612,0.10468,2.10687,4.88138,1.32325,0.0006931,0.0006931,0.0006931
33,10548.9,2.22767,1.86455,1.47221,0.48372,0.35896,0.33644,0.11137,2.12429,4.07456,1.33748,0.0006832,0.0006832,0.0006832
34,10690.7,2.22999,1.85388,1.46195,0.50413,0.34139,0.33757,0.10892,2.12957,3.59142,1.32256,0.0006733,0.0006733,0.0006733
35,10837.2,2.21093,1.81376,1.4555,0.45396,0.38093,0.34032,0.11757,2.06989,3.33685,1.28538,0.0006634,0.0006634,0.0006634
36,10977.4,2.18881,1.77612,1.44624,0.49932,0.35404,0.35346,0.11956,2.0782,4.11299,1.29283,0.0006535,0.0006535,0.0006535
37,11121.7,2.18355,1.79879,1.4353,0.48021,0.36731,0.36041,0.13039,2.0682,3.50543,1.31294,0.0006436,0.0006436,0.0006436
38,11265.8,2.17164,1.76681,1.42179,0.51089,0.38576,0.3759,0.13163,1.97855,4.6298,1.28388,0.0006337,0.0006337,0.0006337
39,11410.2,2.18586,1.76222,1.43193,0.46251,0.3739,0.34403,0.12667,2.02676,3.37479,1.28484,0.0006238,0.0006238,0.0006238
40,11554.5,2.17247,1.74844,1.42567,0.51974,0.38357,0.3732,0.13439,2.0264,2.70855,1.28952,0.0006139,0.0006139,0.0006139
41,11697.1,2.13216,1.73923,1.4184,0.52029,0.40114,0.36028,0.12831,2.04218,3.97291,1.27139,0.000604,0.000604,0.000604
42,11841.2,2.13917,1.717,1.42216,0.51855,0.41213,0.3863,0.13545,2.02155,2.8354,1.25936,0.0005941,0.0005941,0.0005941
43,11985.6,2.14118,1.69236,1.40572,0.53934,0.42027,0.38424,0.13834,1.97948,2.70428,1.25968,0.0005842,0.0005842,0.0005842
44,12129,2.09834,1.6336,1.39199,0.50442,0.38752,0.37677,0.13237,2.05368,3.50274,1.29637,0.0005743,0.0005743,0.0005743
45,12276.5,2.12297,1.6736,1.4079,0.48948,0.43673,0.39061,0.14323,1.97988,3.41606,1.26873,0.0005644,0.0005644,0.0005644
46,12411.1,2.08374,1.65015,1.38586,0.53319,0.39851,0.38588,0.14109,2.00058,3.47863,1.26841,0.0005545,0.0005545,0.0005545
47,12541.2,2.08095,1.62834,1.37662,0.46874,0.41673,0.35082,0.12765,2.01281,2.87439,1.27966,0.0005446,0.0005446,0.0005446
48,12671.6,2.06717,1.59516,1.36218,0.5138,0.41369,0.39527,0.14383,2.0459,3.19281,1.27978,0.0005347,0.0005347,0.0005347
49,12800.4,2.05712,1.59354,1.37047,0.53627,0.39327,0.38185,0.13926,2.05418,2.83742,1.31158,0.0005248,0.0005248,0.0005248
50,12929.5,2.04339,1.58775,1.37001,0.54334,0.41476,0.38066,0.14025,2.01352,2.59813,1.27063,0.0005149,0.0005149,0.0005149
51,13058,2.03986,1.56808,1.36738,0.50445,0.43497,0.39083,0.14178,1.99288,2.54983,1.27234,0.000505,0.000505,0.000505
52,13187.6,2.01965,1.54512,1.34945,0.54154,0.42142,0.35932,0.13118,2.00721,2.68056,1.28497,0.0004951,0.0004951,0.0004951
53,13317.7,2.01683,1.53227,1.3508,0.55342,0.41696,0.39256,0.14766,1.98469,3.05937,1.27323,0.0004852,0.0004852,0.0004852
54,13447.4,2.03456,1.52257,1.35112,0.52463,0.45562,0.41713,0.15359,2.01927,2.62811,1.27922,0.0004753,0.0004753,0.0004753
55,13576.1,2.0012,1.49739,1.3458,0.53014,0.43453,0.40918,0.15856,1.9871,2.40737,1.25411,0.0004654,0.0004654,0.0004654
56,13706.9,1.98707,1.50512,1.335,0.54978,0.42355,0.41495,0.16055,1.97608,2.55686,1.26761,0.0004555,0.0004555,0.0004555
